name	In_01	In_03	In_05	In_08	In_15	In_24	In_29	In_41	In_50	In_60
Amycolatopsis sp. WQ 127309	0.00115	0	0	0	0	0	0	0	0	0
Amycolatopsis sp. Hca4	0.00131	0	0	0	0	0	0	0	0	0
Amycolatopsis acidiphila	5.4e-4	0	0	0	0	0	0	0	0	0
Saccharothrix syringae	0.00127	0	0	0	7e-4	0	0	0	0	0
Saccharothrix sp. 6-C	0.00112	0	0	0	6.7e-4	0	0	0	0	0
Saccharothrix espanaensis	7.3e-4	0	0	0	0	0	0	0	0	0
Saccharopolyspora erythraea	0.00121	0	0	0	8.2e-4	0	0	0	0	0
Saccharomonospora glauca	7e-4	6.5e-4	0	0	0	0	0	0	0	0
Saccharomonospora azurea	5.1e-4	0	0	0	5.6e-4	0	0	0	0	0
Saccharomonospora cyanea	6.1e-4	0	0	0	0	0	0	0	0	0
Lentzea guizhouensis	5.4e-4	0	0	0	4.7e-4	0	0	0	0	0
Lentzea sp. HUAS12	3.8e-4	0	0	0	5.3e-4	0	0	0	0	0
Allokutzneria albata	3.8e-4	0	0	0	0	0	0	0	0	0
Nocardiopsis dassonvillei	0.00182	0	0	0	0	0	0	0	0	0
Nocardiopsis sp. HUAS JQ3	0.00163	0	0	0	0	0	0	0	0	0
Streptomonospora litoralis	3.5e-4	0	0	0	0	0	0	0	0	0
Nonomuraea phyllanthi	9.9e-4	0	3.5e-4	0	3.2e-4	0	0	0	0	0
Nonomuraea gerenzanensis	6.4e-4	0	4.1e-4	0	0	0	0	0	0	0
Nonomuraea coxensis	4.1e-4	0	0	0	3.5e-4	0	0	0	0	0
Nonomuraea sp. ATCC 55076	4.8e-4	0	4.3e-4	0	3.8e-4	0	0	0	0	0
Streptosporangium roseum	6.4e-4	0	0	0	0	0	0	0	0	0
Actinomadura sp. WMMB 499	5.7e-4	0	0	0	3.5e-4	0	0	0	0	0
Actinomadura sp. NAK00032	6.1e-4	0	0	0	0	0	0	0	0	0
Actinomadura sp. WMMA1423	4.5e-4	0	0	0	7e-4	0	0	0	0	0
Actinomadura madurae	5.4e-4	0	0	0	5.3e-4	0	0	0	0	0
Thermomonospora amylolytica	7e-4	0	0	0	0	0	0	0	0	0
Thermomonospora curvata	4.5e-4	0	0	0	3.8e-4	0	0	0	0	0
Bifidobacterium longum	0.0014	0.03083	0.00168	0.05885	0.00412	0.05435	0.00825	0.01758	0	0
Pseudofrankia inefficax	3.2e-4	0	0	0	3.2e-4	0	0	0	0	0
Jiangella alkaliphila	5.7e-4	0	4.1e-4	0	0	0	0	0	0	0
Jiangella sp. DSM 45060	3.8e-4	0	0	2.8e-4	4.4e-4	0	0	0	0	0
Nakamurella multipartita	4.8e-4	0	0	0	4.1e-4	0	0	0	0	0
Kineococcus radiotolerans	7e-4	0	0	0	3.2e-4	0	0	0	0	0
Catenulispora acidiphila	4.1e-4	0	0	0	2.9e-4	0	0	0	0	0
Baekduia alba	0.00185	0	0	0	0	0	0	0	0	0
Baekduia soli	0.00156	0	0	0	4.7e-4	0	0	0	0	0
Conexibacter sp. SYSU D00693	0.00169	0	3.8e-4	0	6.1e-4	0	0	0	0	0
Conexibacter sp. S30A1	3.5e-4	0	0	0	0	0	0	0	0	0
Conexibacter woesei	0.00124	0	0	0	3.5e-4	0	0	0	0	0
